,0
0,0.010876509
1,0.6962849
2,0.0019692061
3,0.0025837524
4,0.0004566377
5,0.99956936
6,0.9848608
7,0.0009418049
8,0.9062127
9,0.03933468
10,0.9912048
11,0.6219753
12,0.034525614
13,0.0031256508
14,0.000492958
15,0.09914304
16,3.2052067e-05
17,0.015216478
18,0.005275275
19,0.00039127338
20,0.98768926
21,0.36118674
22,0.00477009
23,0.040621396
24,0.0028420677
25,0.9304486
26,0.0032302684
27,0.87890136
28,0.885056
29,0.0049613644
30,0.9834711
31,0.0031364425
32,0.8604356
33,0.3666982
34,0.0010734014
35,0.050822858
36,0.0026973651
37,0.96383715
38,0.019350583
39,0.9793975
40,0.9954145
41,0.0008055792
42,0.07513582
43,0.9999627
44,0.0077962377
45,0.7981537
46,0.9969446
47,0.026185136
48,0.0031387112
49,0.07523961
50,0.001842177
51,0.0027573812
52,0.00211333
53,0.9897216
54,0.0008455346
55,0.007265532
56,0.004348037
57,0.49132052
58,0.5868981
59,0.00018404744
60,0.9657088
61,0.8296228
62,0.0049011735
63,0.02232218
64,0.038663253
65,0.0035310357
66,2.588737e-05
67,0.9992455
68,0.022049727
69,0.9968526
70,0.00029111627
71,0.8882053
72,0.07995695
73,0.9943071
74,0.00515872
75,0.9907934
76,0.9822531
77,0.0044506355
78,0.9962049
79,0.19418508
80,0.9351556
81,0.006550377
82,0.32346
83,0.00019783569
84,0.20205139
85,0.00020522751
86,0.0017225523
87,0.00088185776
88,0.030342018
89,0.98410183
90,6.9318405e-05
91,0.010672878
92,0.002397089
93,0.6973094
94,0.12004207
95,0.0015515214
96,0.09325692
97,0.091292724
98,0.08976144
99,0.9929005
100,0.9974239
101,0.033896536
102,0.9474059
103,0.013287641
104,0.02626431
105,0.9951749
106,0.117349714
107,0.00045225618
108,0.0012428968
109,0.005224974
110,0.0037180083
111,0.92414874
112,0.119353324
113,0.015933912
114,0.8551421
115,0.9783409
116,0.00080669264
117,0.0063795764
118,0.9512155
119,0.0014381915
120,0.9878385
121,0.004112145
122,0.59081006
123,0.022177236
124,0.0024394046
125,0.0004136531
126,0.02559014
127,0.7492816
128,0.00019621427
129,0.680307
130,0.016010184
131,0.9906158
132,0.9839453
133,0.99446046
134,0.99993813
135,0.07319967
136,0.9072285
137,0.0009787659
138,0.03003873
139,0.014174172
140,0.9601777
141,0.99994016
142,0.9927382
143,0.03693841
144,0.9831594
145,0.7190632
146,0.71087897
147,0.9957889
148,0.0049311253
149,0.00036179004
150,0.056802914
151,0.0067312
152,0.0053682686
153,0.034884088
154,0.00023992031
155,0.9953093
156,0.008024282
157,0.9930668
158,0.9581653
159,0.15900622
160,0.0041644326
161,0.96172863
162,0.99999917
163,0.04598292
164,0.95621073
165,0.9546222
166,0.13270538
167,0.006093922
168,0.97679126
169,0.052883204
170,0.9894692
171,0.00033696197
172,0.99819356
173,0.34888697
174,0.92326146
175,0.7725962
176,0.52038646
177,0.9619888
178,0.99874157
179,0.038481742
180,0.731006
181,0.5213435
182,0.9993919
183,0.5408805
184,0.99132264
185,0.86641
186,0.8940321
187,0.00034386633
188,3.8190014e-05
189,0.9925932
190,0.9401941
191,0.9909039
192,0.0021461535
193,0.009962106
194,0.99997723
195,0.1451912
196,0.022325296
197,0.99939036
198,0.007780599
199,0.88529223
200,0.031954497
201,0.058050465
202,0.0030917078
203,0.9991736
204,0.97775215
205,0.0006156749
206,0.0018592665
207,0.9995028
208,0.77645034
209,0.0046228785
210,0.003556973
211,0.00041171617
212,0.0024030176
213,0.99987376
214,0.003663463
215,0.74274987
216,0.0017305854
217,0.99896693
218,8.666775e-05
219,0.00020776737
220,0.00027754073
221,0.008880764
222,0.006088541
223,0.99841917
224,0.30138376
225,0.5304164
226,0.7844408
227,0.9938089
228,0.006028446
229,0.0022649018
230,0.024982672
231,0.14343305
232,4.717113e-05
233,0.10915593
234,0.00073754624
235,0.9984894
236,0.99532497
237,0.010396116
238,0.2659106
239,0.042841606
240,0.7862255
241,0.99969554
242,0.056203745
243,0.05787525
244,0.19758104
245,0.004322428
246,0.07785123
247,0.001964295
248,0.0071039917
249,0.37200305
250,0.9738279
251,0.9340993
252,0.99986327
253,0.7353598
254,0.0018011953
255,0.00774535
256,0.0005337361
257,0.9988537
258,0.97911114
259,0.432614
260,0.018523894
261,0.0010261803
262,0.006511311
263,0.0036064668
264,0.028155884
265,0.015984783
266,0.08288297
267,0.34918827
268,0.004675942
269,0.14715596
270,0.3053586
271,0.81445444
272,0.03359097
273,0.92029643
274,0.00056134956
275,0.9977683
276,0.031221528
277,0.11103225
278,0.23276453
279,0.012873113
280,0.9639372
281,0.0009040185
282,0.67729604
283,0.0065156776
284,0.9995546
285,0.57991034
286,0.0019525208
287,0.9320922
288,0.9860043
289,0.93435395
290,0.001320374
291,0.025928684
292,0.6582083
293,0.022592574
294,0.092138685
295,0.0021006023
296,0.0007231251
297,0.00047080038
298,0.9978891
299,1.922857e-06
300,0.83956224
301,0.020700423
302,0.03663857
303,0.08305359
304,0.0025438077
305,0.60651785
306,0.5692027
307,0.991392
308,0.97791404
309,0.9897713
310,0.08029727
311,0.98692
312,0.12890738
313,0.0008441576
314,0.9987031
315,0.0056389775
316,0.30102703
317,0.4370116
318,0.36188135
319,0.0003192389
320,6.4627755e-05
321,0.7742733
322,0.99805427
323,0.9999676
324,0.1882833
325,0.98714983
326,0.00034649103
327,0.29186708
328,0.8683721
329,0.01532793
330,0.009301612
331,0.0010966251
332,0.08938914
333,0.00796736
334,0.0030021628
335,0.19026999
336,0.0085811885
337,0.99982303
338,0.1702321
339,0.0084194485
340,0.987211
341,0.018173672
342,0.0006138693
343,0.044533286
344,0.0022941183
345,0.9895806
346,0.029412653
347,0.0015026747
348,0.99979585
349,0.0004525956
350,0.9997687
351,0.00059598533
352,0.00033934967
353,0.0056858663
354,0.049575586
355,0.09883246
356,0.7031599
357,0.0021984358
358,0.73543274
359,0.016719427
360,0.0001620523
361,0.15149346
362,0.97535443
363,0.9974617
364,0.68813455
365,0.044676933
366,0.99982977
367,0.9970407
368,0.026059814
369,0.0014268958
370,0.9982482
371,0.0001786959
372,0.5678229
373,0.99030906
374,8.652555e-05
375,0.001657897
376,0.17821278
377,0.2904697
378,0.0009964781
379,0.80372316
380,0.99976856
381,0.96978563
382,0.96185404
383,0.4450334
384,0.0015141923
385,0.77861184
386,0.00071892876
387,0.036507417
388,0.05815939
389,0.030052112
390,0.0039138193
391,0.9962941
392,0.18779765
393,0.13001701
394,0.13191892
395,0.014108916
396,0.99981266
397,0.99813145
398,0.98376703
399,0.0020770263
400,2.488508e-05
401,0.99379385
402,0.9232274
403,0.9113615
404,0.93453
405,0.0016205112
406,0.9680462
407,0.0075571234
408,0.10877361
409,0.0010450567
410,4.2487285e-05
411,0.9882334
412,0.007824365
413,0.20641243
414,0.00039207804
415,0.02767401
416,0.0722602
417,0.96375597
418,0.0011408183
419,0.0149833625
420,0.47784582
421,0.00428809
422,0.2259012
423,0.91033524
424,0.0010061738
425,0.00062055304
426,0.80182695
427,0.97657734
428,0.35709602
429,0.9848246
430,0.001447836
431,0.7938599
432,0.0045402804
433,0.84767294
434,0.00028397134
435,0.008800184
436,0.0017319277
437,0.011265855
438,0.9994215
439,0.9936366
440,0.8797037
